v0,v1,v2
173,174,175
173,96,169
176,177,178
179,164,163
179,94,93
179,163,94
180,171,164
180,164,179
181,180,179
182,179,93
182,181,179
182,93,183
184,174,168
184,168,157
184,175,174
185,184,157
185,186,184
187,173,175
188,180,181
188,182,183
188,181,182
188,171,180
189,171,188
190,96,173
190,173,187
190,187,191
192,189,188
193,184,186
193,175,184
194,191,195
194,195,196
194,190,191
197,198,176
199,191,187
199,175,193
199,187,175
200,183,93
201,192,188
201,188,183
201,183,200
202,203,204
205,191,199
206,89,55
206,92,89
206,93,92
206,200,93
207,196,195
207,195,208
207,209,196
210,200,206
210,206,55
210,201,200
211,207,208
211,209,207
211,95,209
212,202,204
212,197,202
213,203,202
214,215,212
214,216,215
217,213,218
217,218,219
220,215,216
221,211,208
221,95,211
222,213,217
222,203,213
222,217,223
224,225,226
224,226,220
227,204,203
227,228,204
227,203,222
227,222,223
229,230,226
231,223,217
231,55,97
232,6,5
232,221,208
232,233,221
234,4,3
234,5,4
234,232,5
234,233,232
235,225,236
235,226,225
235,229,226
235,237,229
238,223,231
238,228,227
238,227,223
238,231,97
239,228,238
239,240,228
239,238,97
241,8,7
241,9,8
241,242,243
244,236,225
245,10,9
245,9,241
245,241,243
246,247,248
246,99,247
246,100,99
246,101,100
249,244,248
250,249,248
250,248,247
250,251,249
252,17,16
253,18,17
253,17,252
253,252,254
253,254,255
256,106,56
256,109,108
256,108,106
256,111,109
256,56,61
257,36,35
257,37,36
257,110,37
257,35,117
257,113,110
258,111,256
258,61,63
258,256,61
258,63,64
258,66,67
258,64,66
259,114,111
259,111,258
260,259,258
261,72,126
261,257,117
261,117,72
262,261,126
262,113,257
262,257,261
263,259,260
263,260,264
265,112,113
265,116,112
265,120,116
265,123,122
265,122,120
266,126,128
266,128,123
266,262,126
266,113,262
266,123,265
266,265,113
267,119,114
267,140,119
267,264,140
267,263,264
267,259,263
267,114,259
268,269,270
268,137,88
268,270,137
268,118,119
268,119,269
268,88,118
271,264,127
271,131,272
271,140,264
271,127,131
271,146,140
271,272,146
273,134,132
273,77,79
273,79,81
273,81,82
273,82,141
273,144,134
273,141,144
273,132,77
274,119,139
274,270,269
274,269,119
275,131,130
276,131,275
276,275,154
277,139,147
277,274,139
278,270,274
278,277,147
278,274,277
279,130,138
279,138,143
279,143,151
280,137,270
280,270,278
281,130,279
281,279,151
281,151,152
281,152,154
281,154,275
281,275,130
282,272,131
282,154,162
282,131,276
282,276,154
282,162,272
283,280,278
283,278,147
284,280,283
284,283,156
284,137,280
285,87,137
285,137,160
286,137,284
286,155,160
286,156,155
286,160,137
286,284,156
287,143,134
287,150,143
287,91,150
287,134,149
287,149,91
288,285,160
288,160,159
289,87,285
289,285,288
290,145,146
290,272,162
290,146,272
290,162,165
291,87,289
291,96,87
291,169,96
292,159,169
292,289,288
292,291,289
292,169,291
292,288,159
293,165,166
293,290,165
293,145,290
294,283,147
294,148,295
294,147,148
296,295,148
296,172,295
296,145,293
296,148,145
297,293,166
297,172,296
297,296,293
297,166,172
298,156,283
298,283,294
299,295,178
299,298,294
299,294,295
300,156,298
300,298,299
300,157,156
301,177,157
301,157,300
301,178,177
301,299,178
301,300,299
302,295,172
302,172,170
303,178,295
303,295,302
304,303,302
305,177,176
305,157,177
305,185,157
305,176,198
306,178,303
306,176,178
307,306,303
307,304,308
307,303,304
309,306,307
309,307,308
309,176,306
309,197,176
309,308,202
309,202,197
310,212,215
310,197,212
310,186,185
310,185,305
310,305,198
310,198,197
310,215,186
311,96,190
311,190,194
311,209,95
311,196,209
311,95,96
311,194,196
312,201,219
312,192,201
313,312,219
313,308,312
314,218,213
314,213,202
314,219,218
314,313,219
314,308,313
314,202,308
315,215,220
315,226,230
315,220,226
315,230,205
315,199,193
315,193,186
315,205,199
315,186,215
316,219,201
316,201,210
316,210,55
317,217,219
317,219,316
318,191,205
318,319,191
318,230,229
318,237,319
318,229,237
318,205,230
320,317,316
320,316,55
321,195,191
321,191,319
321,208,195
322,1,0
322,2,1
322,3,2
322,95,221
322,221,233
322,233,234
322,0,95
322,234,3
323,317,320
323,320,55
324,204,228
324,214,212
324,216,214
324,212,204
325,317,323
325,323,55
325,231,217
325,55,231
325,217,317
326,224,220
326,220,216
327,321,319
327,208,321
327,319,328
329,324,228
329,228,240
329,216,324
329,326,216
330,224,326
330,329,240
330,326,329
331,224,330
331,225,224
332,328,333
332,327,328
334,332,333
334,327,332
334,208,327
335,235,236
335,319,237
335,237,235
335,328,319
336,7,6
336,6,232
336,232,208
336,241,7
336,242,241
337,242,336
337,334,333
337,208,334
337,336,208
337,333,243
337,243,242
338,335,236
339,330,240
339,331,330
339,240,340
341,328,335
341,335,338
341,333,328
342,248,244
342,244,225
342,340,246
342,225,331
342,246,248
342,331,339
342,339,340
343,338,236
343,333,341
343,341,338
344,340,240
345,344,240
345,240,239
345,239,97
346,345,97
346,344,345
347,246,340
347,340,344
347,344,346
348,343,236
349,251,350
349,249,251
349,244,249
349,350,348
349,236,244
349,348,236
351,101,246
351,97,101
351,246,347
351,346,97
351,347,346
352,348,350
352,343,348
352,333,343
353,350,251
353,251,250
354,353,250
354,250,247
354,247,99
354,99,98
355,353,354
355,350,353
355,354,98
356,350,355
356,254,350
356,255,254
357,355,98
357,255,356
357,98,102
357,102,103
357,356,355
358,127,264
358,258,67
358,260,258
358,264,260
358,67,68
358,68,69
358,69,70
358,70,127
359,170,171
359,302,170
360,302,359
360,359,171
360,171,189
361,302,360
361,360,189
361,304,302
361,308,304
361,189,192
361,312,308
361,192,312
362,245,243
362,352,363
362,333,352
362,243,333
364,362,363
364,245,362
365,11,10
365,12,11
365,13,12
365,364,363
365,245,364
365,363,13
365,10,245
366,352,350
366,350,254
366,254,252
366,363,352
367,366,252
367,363,366
368,14,13
368,15,14
368,16,15
368,252,16
368,367,252
368,363,367
368,13,363
369,357,103
369,21,20
369,22,21
369,23,22
369,103,23
370,255,357
370,19,18
370,20,19
370,369,20
370,18,253
370,357,369
370,253,255
