assembly_component,face_zero_based,surface_type,manufacturing_route,reason
A42,1,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,2,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,3,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,4,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,5,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,6,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,7,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,8,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,9,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,10,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A42,11,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,12,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,13,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,14,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A42,15,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A42,16,BSPLINE,F19,covered exterior reference
A42,17,BSPLINE,F20,covered exterior reference
A42,18,BSPLINE,F33,covered exterior reference
A42,19,BSPLINE,F21,covered exterior reference
A42,20,BSPLINE,F22,covered exterior reference
A42,21,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A42,22,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A56,0,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A56,1,PLANE,no extra panel,inner wall or internal relief/slit surface
A56,2,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A56,3,PLANE,no extra panel,inner wall or internal relief/slit surface
A56,4,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A56,5,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A56,6,PLANE,no extra panel,inner wall or internal relief/slit surface
A56,7,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A56,8,CYLINDER,F13,covered exterior reference
A56,9,CYLINDER,F09,covered exterior reference
A56,10,PLANE,F14,covered exterior reference
A56,11,CYLINDER,F10,covered exterior reference
A56,12,CYLINDER,F15,covered exterior reference
A56,13,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A56,14,PLANE,no extra panel,inner wall or internal relief/slit surface
A56,15,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A56,16,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A56,17,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A56,18,PLANE,no extra panel,inner wall or internal relief/slit surface
A56,19,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,0,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A52,1,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A52,2,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A52,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,4,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,5,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,6,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A52,7,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,8,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,9,BSPLINE,F01,covered exterior reference
A52,10,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,11,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A52,12,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,0,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A49,1,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A49,2,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A49,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,4,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,5,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,6,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A49,7,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,8,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,9,BSPLINE,F02,covered exterior reference
A49,10,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,11,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A49,12,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,0,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A38,1,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,2,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,4,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,5,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A38,6,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,7,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,8,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,9,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A38,10,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,11,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,12,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A38,13,BSPLINE,F03,covered exterior reference
A38,14,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,15,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,16,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,17,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,18,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,19,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,20,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,21,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A38,22,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,0,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A27,1,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,2,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,4,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,5,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A27,6,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,7,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,8,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,9,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A27,10,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,11,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,12,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A27,13,BSPLINE,F04,covered exterior reference
A27,14,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,15,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,16,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,17,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,18,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,19,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,20,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,21,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A27,22,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A57,0,BSPLINE,F05/F07,covered exterior reference
A57,1,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A57,2,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A57,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A57,4,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A57,5,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A22,0,BSPLINE,F06/F08,covered exterior reference
A22,1,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A22,2,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A22,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A22,4,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A22,5,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A41,0,PLANE,F31,laminated blank is shaped to whole control solid; no separate skin
A41,1,PLANE,F31,laminated blank is shaped to whole control solid; no separate skin
A41,2,PLANE,F31 laminate shaping blank,covered exterior reference
A41,3,CYLINDER,F31,laminated blank is shaped to whole control solid; no separate skin
A41,4,PLANE,F31,laminated blank is shaped to whole control solid; no separate skin
A41,5,PLANE,F31,laminated blank is shaped to whole control solid; no separate skin
A41,6,CYLINDER,F31,laminated blank is shaped to whole control solid; no separate skin
A60,0,PLANE,F32,laminated blank is shaped to whole control solid; no separate skin
A60,1,PLANE,F32,laminated blank is shaped to whole control solid; no separate skin
A60,2,PLANE,F32 laminate shaping blank,covered exterior reference
A60,3,CYLINDER,F32,laminated blank is shaped to whole control solid; no separate skin
A60,4,PLANE,F32,laminated blank is shaped to whole control solid; no separate skin
A60,5,PLANE,F32,laminated blank is shaped to whole control solid; no separate skin
A60,6,CYLINDER,F32,laminated blank is shaped to whole control solid; no separate skin
