pattern_id,assembly_id,name,material,thickness_mm,quantity,blank_area_mm2,reference_dxf
SKIN_F27,FSL3,fuselage_src18_face14_axis1_strip1of4,Foam,5.0,1,7854.413,Reference_Profiles/BODY_F27_fuselage_src18_face14_axis1_strip1of4.dxf
SKIN_F28,FSL3,fuselage_src18_face14_axis1_strip2of4,Foam,5.0,1,7361.092,Reference_Profiles/BODY_F28_fuselage_src18_face14_axis1_strip2of4.dxf
SKIN_F29,FSL3,fuselage_src18_face14_axis1_strip3of4,Foam,5.0,1,6551.955,Reference_Profiles/BODY_F29_fuselage_src18_face14_axis1_strip3of4.dxf
SKIN_F30,FSL3,fuselage_src18_face14_axis1_strip4of4,Foam,5.0,1,5424.869,Reference_Profiles/BODY_F30_fuselage_src18_face14_axis1_strip4of4.dxf
SKIN_F33,FSL2,fuselage_src10_face18,Foam,5.0,1,766.858,Reference_Profiles/BODY_F33_fuselage_src10_face18.dxf
SKIN_WLIN_F01,WLIN,wing_inner_A,Foam,5.0,1,167058.971,Reference_Profiles/WLIN_F01.dxf
SKIN_WRIN_F02,WRIN,wing_inner_B,Foam,5.0,1,167058.848,Reference_Profiles/WRIN_F02.dxf
SKIN_WROUT_F03,WROUT,wing_outer_A,Foam,5.0,1,91701.709,Reference_Profiles/WROUT_F03.dxf
SKIN_WLOUT_F04,WLOUT,wing_outer_B,Foam,5.0,1,91701.728,Reference_Profiles/WLOUT_F04.dxf
SKIN_TRF_F05,TRF,tail_A_rootcollar1,Foam,5.0,1,39318.735,Reference_Profiles/TRF_F05.dxf
SKIN_TLF_F06,TLF,tail_B_rootcollar1,Foam,5.0,1,39318.606,Reference_Profiles/TLF_F06.dxf
SKIN_TRF_F07,TRF,tail_A_rootcollar2,Foam,5.0,1,12579.19,Reference_Profiles/TRF_F07.dxf
SKIN_TLF_F08,TLF,tail_B_rootcollar2,Foam,5.0,1,12579.192,Reference_Profiles/TLF_F08.dxf
